Fp1,Fp2,C3,C4,P7,P8,O1,O2,marker
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
19543.560688920104,15182.310662545045,-131488.02596187903,-187500.02235174447,-156921.07014907245,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19516.67154034037,15172.207674051248,-131544.1511922063,-187500.02235174447,-156974.75903925407,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19545.237069754254,15183.271787556623,-131612.1675505838,-187500.02235174447,-157036.58396441746,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19565.73361941977,15191.67604347182,-131598.44357948823,-187500.02235174447,-157012.13115598337,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19544.43240695386,15191.497229516177,-131594.6661346753,-187500.02235174447,-157008.13019372587,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19523.310008443597,15176.678022942308,-131720.55115944758,-187500.02235174447,-157128.7402068067,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19545.214718009796,15181.796572422574,-131755.86691568696,-187500.02235174447,-157150.3990471839,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19576.060125358123,15197.86747668594,-131752.62591274094,-187500.02235174447,-157137.30092493308,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19555.16124429241,15181.14837183337,-131826.16315199892,-187500.02235174447,-157211.88869618042,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19517.878534540956,15164.138694302881,-131932.7362695618,-187500.02235174447,-157313.633836941,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19542.24193599724,15166.060944326038,-131940.40291791,-187500.02235174447,-157311.4880694733,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19576.35069803604,15193.061851628048,-131958.12785126304,-187500.02235174447,-157323.84858415707,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19569.466360743805,15200.639092998397,-131999.03154361626,-187500.02235174447,-157355.36454383907,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19539.29150572914,15195.073508629026,-132007.54755825372,-187500.02235174447,-157359.76783749674,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19538.620953395483,15185.462258513244,-132096.68631514147,-187500.02235174447,-157442.7598646593,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19570.986279366767,15195.140563862393,-132132.940844648,-187500.02235174447,-157465.55864400373,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19573.377916023484,15197.085165630004,-132141.1439348631,-187500.02235174447,-157469.0678678832,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19541.280810985663,15191.43017428281,-132230.37209872867,-187500.02235174447,-157554.25036600238,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19537.190441750343,15178.354403776457,-132264.3243985563,-187500.02235174447,-157578.12202908064,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19576.797732925144,15193.642996983886,-132238.99987208843,-187500.02235174447,-157548.81889209975,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19571.187445066866,15196.235799340702,-132314.01232648044,-187500.02235174447,-157617.1928783885,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19541.973715063777,15172.788819407086,-132375.32316152134,-187500.02235174447,-157666.21025397902,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19541.303162730117,15168.743153660675,-132377.17835631114,-187500.02235174447,-157667.46195166852,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19557.999915838234,15181.327185789012,-132426.24043539053,-187500.02235174447,-157715.2276295695,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19567.67822118738,15191.273712071625,-132474.29668596946,-187500.02235174447,-157750.31986836434,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19554.133064047466,15190.312587060045,-132505.2315002956,-187500.02235174447,-157774.66091807614,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19536.989276050244,15184.277616057112,-132586.94947802418,-187500.02235174447,-157855.08249462635,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19565.130122319475,15187.406860280857,-132607.9377660677,-187500.02235174447,-157863.33028833035,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19589.806448198135,15196.571075507532,-132609.21181550168,-187500.02235174447,-157859.73165747305,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19564.77249440819,15203.634226755408,-132682.5255373151,-187500.02235174447,-157937.51572817753,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19538.643305139936,15208.81983146904,-132756.30864576207,-187500.02235174447,-158003.43102257623,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19552.59079368005,15181.282482300101,-132785.94705890978,-187500.02235174447,-158024.50871759758,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19591.72869822129,15180.634281710898,-132780.64969547387,-187500.02235174447,-158015.7468337711,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19583.838532428566,15195.364081306945,-132870.32489422857,-187500.02235174447,-158099.5211719896,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19551.428502968374,15186.401031780368,-132935.81550548263,-187500.02235174447,-158153.94766973826,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19567.834683398567,15186.110459102449,-132929.28879610167,-187500.02235174447,-158141.25187888765,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19597.338986079572,15197.688662730297,-132984.67641886193,-187500.02235174447,-158197.26535049264,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19588.599453997547,15196.928703418816,-133056.71609124137,-187500.02235174447,-158263.605328036,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19551.026171568177,15178.019127609627,-133096.47984462738,-187500.02235174447,-158295.32245341808,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19561.933822862367,15194.514715017644,-133102.5595191192,-187500.02235174447,-158301.58094186557,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
19595.05910814513,15198.918008675339,-133135.64010091306,-187500.02235174447,-158332.4710527028,-187500.02235174447,-187500.02235174447,-187500.02235174447,2000
